book1,AU,1,JHolay Lal,1,101021,101021,1
book2,AZ,1,Jlay Lal,1,101021,101021,1
book3,AR,2,Lhr,0,101021,201021,2
book1,AU,1,JHolay Lal,1,101021,101021,1
book2,AZ,1,Jlay Lal,1,101021,101021,1
book3,AR,2,Lhr,0,101021,201021,2
book1,AU,1,JHolay Lal,1,101021,101021,1
book2,AZ,1,Jlay Lal,1,101021,101021,1
book3,AR,2,Lhr,0,101021,201021,2
book1,AU,1,JHolay Lal,1,101021,101021,1
book2,AZ,1,Jlay Lal,1,101021,101021,1
book3,AR,2,Lhr,0,101021,201021,2
book1,AU,1,JHolay Lal,1,101021,101021,1
book2,AZ,1,Jlay Lal,1,101021,101021,1
book3,AR,2,Lhr,0,101021,201021,2
